County,State,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,PercentageShootingsOnBlack,PercentageDemogIsBlack
Warren County,KY,0.00,100.00,100.00,0.00,0.00,9.40
Warren County,NJ,100.00,0.00,100.00,50.00,0.00,4.50
Warren County,TN,100.00,0.00,100.00,100.00,0.00,3.60
Warrick County,IN,100.00,0.00,100.00,0.00,0.00,1.60
Wasco County,OR,100.00,0.00,100.00,100.00,0.00,0.60
Washington Parish County,LA,0.00,100.00,100.00,0.00,0.00,30.40
Washington County,AL,100.00,50.00,50.00,100.00,0.00,24.60
Washington County,AR,100.00,12.50,87.50,85.71,14.29,3.50
Washington County,IA,100.00,0.00,100.00,100.00,0.00,0.90
Washington County,IN,100.00,0.00,100.00,0.00,0.00,0.40
Washington County,MN,100.00,0.00,50.00,50.00,0.00,4.30
Washington County,MO,100.00,0.00,100.00,100.00,0.00,2.40
Washington County,MS,100.00,33.33,100.00,50.00,33.33,71.40
Washington County,NE,100.00,0.00,100.00,100.00,0.00,0.80
Washington County,OH,100.00,0.00,100.00,100.00,0.00,1.20
Washington County,OK,0.00,100.00,100.00,0.00,0.00,2.70
Washington County,OR,100.00,0.00,92.86,71.43,7.14,2.20
Washington County,PA,100.00,0.00,100.00,50.00,100.00,3.20
Washington County,TN,100.00,0.00,83.33,50.00,0.00,4.30
Washington County,VA,100.00,0.00,100.00,0.00,0.00,1.50
Washington County,VT,100.00,0.00,100.00,66.67,0.00,0.90
Washington County,WI,100.00,0.00,100.00,50.00,0.00,1.10
Washita County,OK,100.00,0.00,100.00,50.00,0.00,1.20
Washoe County,NV,100.00,31.58,94.74,69.23,11.11,2.60
Watauga County,NC,0.00,100.00,100.00,0.00,0.00,1.90
Watonwan County,MN,100.00,0.00,100.00,0.00,0.00,1.70
Waukesha County,WI,100.00,0.00,100.00,75.00,0.00,1.40
Waupaca County,WI,100.00,0.00,0.00,0.00,0.00,0.40
Waushara County,WI,100.00,0.00,100.00,100.00,0.00,2.10
Wayne County,GA,100.00,0.00,100.00,100.00,0.00,20.70
Wayne County,KY,100.00,0.00,100.00,100.00,0.00,1.80
Wayne County,MI,88.00,12.00,84.00,60.00,66.67,39.30
Wayne County,NY,100.00,0.00,0.00,100.00,0.00,3.30
Wayne County,OH,100.00,0.00,0.00,100.00,0.00,1.70
Wayne County,PA,100.00,0.00,100.00,100.00,0.00,3.60
Wayne County,WV,100.00,0.00,100.00,100.00,0.00,0.50
Waynesboro County,VA,100.00,0.00,100.00,100.00,100.00,11.70
Webb County,TX,83.33,28.57,100.00,33.33,0.00,0.70
Weber County,UT,100.00,8.33,58.33,54.55,0.00,1.60
Webster County,IA,100.00,0.00,66.67,66.67,0.00,4.20
Weld County,CO,90.91,9.09,81.82,63.64,9.09,1.40
West Baton Rouge Parish County,LA,0.00,100.00,100.00,0.00,100.00,38.50
Westchester County,NY,60.00,40.00,100.00,60.00,100.00,16.10
Westmoreland County,PA,100.00,0.00,100.00,100.00,25.00,2.50
Whatcom County,WA,50.00,50.00,50.00,0.00,0.00,1.20
Wheeler County,GA,0.00,100.00,100.00,0.00,0.00,38.40
White County,AR,100.00,0.00,100.00,100.00,0.00,4.60
White County,IN,100.00,0.00,100.00,100.00,100.00,0.80
White County,TN,100.00,50.00,100.00,100.00,0.00,2.00
Whiteside County,IL,0.00,100.00,100.00,0.00,100.00,1.70
Whitfield County,GA,100.00,50.00,100.00,0.00,0.00,4.40
Whitley County,KY,100.00,0.00,100.00,0.00,0.00,0.80
Wichita County,TX,100.00,0.00,100.00,50.00,50.00,10.90
Wicomico County,MD,100.00,0.00,100.00,100.00,50.00,25.20
Wilbarger County,TX,100.00,0.00,100.00,0.00,0.00,8.70
Wilkes County,NC,100.00,0.00,100.00,100.00,0.00,4.50
Will County,IL,100.00,0.00,100.00,50.00,50.00,11.80
Williams County,OH,100.00,0.00,100.00,100.00,0.00,1.20
Williamsburg County,SC,100.00,0.00,100.00,100.00,100.00,65.10
Williamson County,IL,100.00,0.00,100.00,100.00,0.00,4.30
Williamson County,TN,100.00,0.00,100.00,66.67,0.00,4.50
Williamson County,TX,100.00,0.00,100.00,100.00,0.00,6.80
Wilson County,NC,100.00,0.00,100.00,100.00,100.00,39.80
Wilson County,TX,0.00,100.00,100.00,0.00,0.00,1.70
Winchester County,VA,100.00,0.00,0.00,50.00,0.00,11.60
Winkler County,TX,0.00,100.00,100.00,0.00,0.00,3.00
Winn Parish County,LA,100.00,0.00,100.00,100.00,0.00,30.90
Winnebago County,IL,100.00,25.00,100.00,33.33,66.67,12.90
Winnebago County,WI,83.33,16.67,83.33,50.00,16.67,2.00
Wise County,VA,100.00,0.00,100.00,100.00,0.00,5.40
Wolfe County,KY,100.00,0.00,100.00,100.00,0.00,0.30
Wood County,OH,100.00,0.00,100.00,100.00,0.00,2.80
Wood County,TX,100.00,0.00,100.00,100.00,0.00,5.00
Wood County,WI,100.00,0.00,100.00,0.00,0.00,0.70
Wood County,WV,0.00,100.00,100.00,0.00,0.00,1.20
Woodbury County,IA,0.00,100.00,100.00,0.00,0.00,2.80
Worcester County,MA,100.00,0.00,100.00,66.67,0.00,5.30
Worth County,GA,100.00,0.00,100.00,100.00,50.00,28.90
Wright County,MO,100.00,0.00,100.00,100.00,0.00,0.70
Wyandotte County,KS,100.00,0.00,100.00,100.00,33.33,24.80
Wythe County,VA,100.00,0.00,100.00,50.00,100.00,2.90
Yadkin County,NC,100.00,0.00,100.00,100.00,0.00,3.50
Yakima County,WA,100.00,33.33,83.33,75.00,0.00,1.50
Yalobusha County,MS,50.00,50.00,100.00,50.00,0.00,38.50
Yamhill County,OR,0.00,100.00,100.00,0.00,50.00,1.10
Yancey County,NC,100.00,0.00,100.00,0.00,0.00,1.20
Yavapai County,AZ,88.89,11.11,66.67,77.78,0.00,0.90
Yellowstone County,MT,100.00,8.33,83.33,72.73,0.00,0.80
Yolo County,CA,100.00,0.00,0.00,33.33,50.00,3.00
York County,ME,100.00,0.00,100.00,50.00,0.00,0.70
York County,NE,100.00,0.00,100.00,0.00,0.00,1.60
York County,PA,100.00,25.00,100.00,66.67,50.00,6.50
York County,SC,100.00,0.00,0.00,0.00,0.00,19.50
York County,VA,100.00,0.00,0.00,100.00,100.00,13.40
Yuba County,CA,100.00,0.00,100.00,100.00,50.00,4.00
Yuma County,AZ,100.00,0.00,100.00,20.00,0.00,2.70
