State,County,BlackPerc
TX,Grimes County,16.5
TX,Freestone County,16.5
AL,Colbert County,16.3
LA,West Carroll Parish,16.3
TX,Tarrant County,16.2
NC,Gaston County,16.1
VA,Spotsylvania County,16.1
NY,Monroe County,16.1
NY,Westchester County,16.1
TX,Panola County,16
NC,Johnston County,16
LA,Grant Parish,16
OH,Mahoning County,15.9
MO,New Madrid County,15.8
VA,Culpeper County,15.8
NC,Onslow County,15.8
OK,Oklahoma County,15.7
TX,Angelina County,15.7
FL,Polk County,15.7
FL,Washington County,15.6
GA,Jeff Davis County,15.6
MS,Pontotoc County,15.6
IL,Kankakee County,15.5
AL,Etowah County,15.5
MI,Berrien County,15.4
GA,Bryan County,15.4
VA,Fluvanna County,15.4
SC,Lexington County,15.2
CT,Hartford County,15.2
FL,Lafayette County,15.2
FL,Wakulla County,15.2
MS,Union County,15.1
MD,Kent County,15.1
TX,McLennan County,15.1
NJ,Hudson County,15.1
PA,Monroe County,15.1
VA,Manassas,15.1
VA,Manassas Park,15
KY,Fayette County,15
VA,Williamsburg,15
TX,Cherokee County,15
IL,Jackson County,14.9
VA,Franklin County,14.8256
LA,Vernon Parish,14.8
CA,Solano County,14.8
OH,Summit County,14.8
NJ,Passaic County,14.8
GA,Floyd County,14.8
LA,Vermilion Parish,14.7
NJ,Salem County,14.7
NC,New Hanover County,14.6
TN,Dyer County,14.6
MD,Saint Mary's County,14.5
AL,Clay County,14.5
VA,Campbell County,14.5
MI,Oakland County,14.5
AR,Craighead County,14.5
MI,Muskegon County,14.4
FL,Franklin County,14.4
MD,Caroline County,14.3
MS,Prentiss County,14.2
CT,New Haven County,14.2
TX,Wharton County,14.1
GA,Effingham County,14
TN,Rutherford County,14
TX,Navarro County,14
FL,Glades County,14
NY,Erie County,13.9
VA,Colonial Heights,13.9
TN,Crockett County,13.7
MD,Worcester County,13.7
LA,Lafourche Parish,13.7
VA,New Kent County,13.7
NY,Albany County,13.7
SC,Horry County,13.7
FL,Calhoun County,13.6
VA,James City County,13.6
FL,Suwannee County,13.6
TX,Galveston County,13.6
TX,Brazoria County,13.5
LA,Beauregard Parish,13.5
AL,Limestone County,13.5
IL,Vermilion County,13.5
FL,Baker County,13.5
TX,Lamar County,13.5
TX,Colorado County,13.5
VA,York County,13.4
PA,Allegheny County,13.4
