County,NumBelowPoverty,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Finney County,5949,0,1,0,0,0
Flathead County,13479,0,0,0,3,0
Florence County,27568,3,0,0,1,0
Floyd County,20173,0,0,0,2,0
Floyd County,10132,0,0,0,1,0
Foard County,196,0,0,0,1,0
Fond du Lac County,9972,0,0,0,1,0
Forest County,1506,0,0,1,1,0
Forrest County,21067,3,0,0,1,0
Forsyth County,15527,0,0,0,3,0
Forsyth County,67945,2,0,0,0,0
Fort Bend County,57569,3,0,0,2,0
Franklin Parish County,6112,0,0,0,1,0
Franklin County,3650,0,0,0,2,0
Franklin County,4208,0,0,0,0,0
Franklin County,1589,0,1,0,0,0
Franklin County,7528,0,1,0,0,0
Franklin County,3096,0,0,0,1,0
Franklin County,12761,0,0,0,2,0
Franklin County,10120,0,0,0,1,0
Franklin County,9842,0,0,0,1,0
Franklin County,222882,24,0,0,11,0
Franklin County,16818,0,0,0,0,0
Franklin County,6252,0,0,0,3,0
Franklin County,17737,1,3,0,0,0
Frederick County,14864,1,1,0,1,0
Fredericksburg County,5273,0,0,0,1,0
Freeborn County,3392,0,0,0,1,0
Freestone County,3083,0,1,0,0,0
Fremont County,6105,0,0,1,0,0
Fresno County,251153,1,16,0,9,1
Frio County,4447,0,1,0,0,0
Fulton County,175352,26,3,0,1,1
Fulton County,4789,0,0,0,1,0
Fulton County,1391,0,0,0,1,0
Fulton County,8711,0,0,0,1,0
Fulton County,1624,0,0,0,1,0
Gadsden County,12264,0,0,0,0,0
Gaines County,3263,0,0,0,1,0
Gallatin County,13720,0,0,0,2,0
Galveston County,41788,1,2,0,7,0
Garfield County,6838,0,0,0,3,0
Garfield County,8770,0,0,0,1,0
Garland County,20146,0,0,0,1,0
Garrard County,3220,0,0,0,1,0
Gaston County,37792,2,0,0,5,0
Geary County,4442,0,0,0,1,0
Genesee County,86708,2,0,0,1,0
Genesee County,7454,0,0,0,1,0
George County,4334,0,0,0,1,0
Gibson County,3882,0,0,0,1,0
Gibson County,9251,0,0,0,2,0
Gila County,11474,0,0,0,1,0
Giles County,2236,0,0,0,1,0
Gladwin County,5438,0,0,0,1,0
Gloucester County,23567,2,0,0,0,0
Glynn County,15778,1,0,0,0,0
Gonzales County,4481,1,0,0,0,0
Goochland County,1228,1,0,0,0,0
Gooding County,3133,0,0,0,2,0
Gordon County,11770,1,0,0,0,0
Grady County,7486,0,1,0,3,0
Grafton County,10042,0,0,0,2,0
Graham County,8464,0,0,0,1,0
Grand Forks County,11222,0,0,1,1,0
Granite County,485,0,0,0,1,0
Grant County,1796,1,0,0,0,0
Grant County,12754,0,0,0,1,0
Grant County,5877,0,0,0,0,0
Grant County,18909,0,1,0,0,0
Grant County,8604,0,0,0,1,0
Grays Harbor County,13455,0,0,0,2,0
Grayson County,6103,0,0,0,2,0
Grayson County,19395,1,0,0,2,0
Grayson County,2883,0,0,0,2,0
Green County,3817,0,1,0,0,0
Greene County,3677,1,0,0,0,0
Greene County,53457,1,0,0,10,0
Greene County,22771,0,0,0,1,0
Greene County,15034,1,0,0,2,0
Greenlee County,1495,0,0,0,1,0
Greenup County,6499,0,0,0,2,0
Greenville County,76275,5,0,0,8,0
Greenwood County,16059,1,0,0,0,0
Gregg County,21684,2,0,0,4,0
Grenada County,4745,0,0,0,1,0
Guadalupe County,14283,0,1,0,3,0
Guernsey County,8037,0,0,0,1,0
Guilford County,92694,4,0,0,3,0
Gulf County,2615,0,0,0,1,0
Gunnison County,2783,0,0,0,1,0
Guthrie County,1104,0,0,0,1,0
Gwinnett County,122031,5,0,0,2,0
Habersham County,9100,0,0,0,1,0
Hale County,7743,0,1,0,0,0
Hall County,35672,0,3,0,2,0
Hall County,8424,0,2,0,0,0
Hamblen County,12103,0,0,0,3,0
Hamilton County,1859,1,0,0,0,0
Hamilton County,15434,0,1,0,2,0
Hamilton County,443,0,0,0,1,0
Hamilton County,145194,6,0,0,1,0
Hamilton County,58303,1,1,0,12,0
Hampden County,82864,0,0,0,1,0
Hampshire County,4227,0,0,0,1,0
Hampton County,20395,1,0,0,0,0
Hancock County,8592,0,0,0,1,0
Hancock County,10547,0,0,0,1,0
Hancock County,5089,1,0,0,0,0
Haralson County,6530,1,0,0,0,0
Hardeman County,1045,0,0,0,1,0
Hardin County,17106,1,0,0,2,0
Hardin County,5847,0,0,0,1,0
Hardin County,6063,0,0,0,2,0
Harford County,18508,0,0,0,3,0
Harlan County,8815,0,0,0,1,0
Harney County,1325,0,0,0,1,0
Harris County,821653,31,23,0,14,2
Harrison County,5187,0,0,0,1,0
Harrison County,39613,4,0,0,6,0
Harrison County,10774,1,0,0,0,0
Harrison County,12171,1,0,0,3,0
Harrisonburg County,17580,0,0,0,2,0
Hart County,4947,0,0,0,0,0
Hartford County,104166,2,4,0,2,0
Harvey County,4457,2,1,0,0,0
Hawaii County,35537,0,0,0,1,1
Hawkins County,9191,1,0,0,1,0
Hays County,31454,0,0,0,3,0
Haywood County,9872,0,0,0,1,0
Heard County,2820,0,0,0,1,0
Henderson County,15672,1,0,0,3,0
Henderson County,5266,1,0,0,0,0
Henderson County,14986,0,0,0,0,0
Hendricks County,7803,0,0,0,1,0
Hennepin County,155144,7,2,0,7,1
Henry County,2475,1,0,0,0,0
Henry County,23953,3,0,0,3,0
Henry County,5212,0,0,0,1,0
Henry County,8329,0,0,0,4,0
Henry County,3987,1,0,0,0,0
Henry County,8906,1,0,0,0,0
Hernando County,27082,0,0,0,6,0
Hertford County,6320,0,0,0,1,0
Hickman County,4243,0,0,0,1,0
Hidalgo County,289213,0,8,0,1,0
Highlands County,19745,0,0,0,3,0
Hillsborough County,221138,7,5,0,7,1
Hillsborough County,34846,0,0,0,4,0
Hinds County,61663,5,0,0,0,1
Hockley County,3702,0,1,0,0,0
Holmes County,4677,0,0,0,1,0
Honolulu County,97195,0,1,0,2,11
Hopewell County,4461,1,0,0,1,0
Hopkins County,8719,0,0,0,1,0
Hopkins County,6933,0,0,0,1,0
Horry County,55583,1,0,0,7,0
Houston County,22665,0,0,0,2,0
Howard County,13858,0,0,0,2,0
Howard County,14227,1,1,0,1,0
Hudson County,112411,2,1,0,1,0
Hudspeth County,1416,1,0,0,0,0
Hughes County,2913,0,0,0,0,0
Humboldt County,27501,1,0,0,3,0
Humboldt County,983,0,0,0,1,0
Humphreys County,2521,0,0,0,1,0
Hunt County,17610,1,0,0,0,0
Huntingdon County,5810,0,0,0,2,0
Huntington County,4405,0,0,0,2,0
Huron County,5066,0,0,0,0,0
Hutchinson County,3440,0,1,0,0,0
Iberia Parish County,15300,0,0,0,1,1
Iberville Parish County,6399,0,0,0,1,0
Imperial County,41728,0,2,0,0,0
Independence County,8759,0,0,0,0,0
Indian River County,21858,1,0,0,3,0
Ingham County,62323,1,0,0,1,0
Iowa County,1785,0,0,0,1,0
Iredell County,23001,0,0,0,4,0
Iron County,9879,0,0,0,1,0
Isanti County,3073,0,0,0,0,0
Island County,7135,0,0,0,1,0
Itasca County,5699,0,0,0,1,0
Jackson County,8426,0,0,0,1,0
Jackson County,9711,0,0,0,2,0
Jackson County,9837,0,0,0,1,0
Jackson County,5682,0,0,0,2,0
Jackson County,4545,0,0,0,1,0
Jackson County,27156,1,1,0,0,0
