County,NumUnder18,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Kent County,3369,1,0,0,0,0
Kent County,157938,3,0,0,2,0
Kenton County,40163,0,1,0,1,0
Kern County,257129,5,23,0,9,0
Kerr County,9809,0,0,0,3,0
King George County,6647,0,0,0,1,0
King County,436793,14,6,1,16,4
Kings County,41324,1,3,1,1,0
Kings County,610878,5,0,0,1,0
Kiowa County,287,0,0,0,1,0
Kitsap County,53124,0,0,1,2,0
Kittitas County,7696,0,1,0,1,0
Klamath County,14073,0,1,0,2,0
Knott County,3242,0,0,0,3,0
Knox County,8043,0,0,0,1,0
Knox County,7568,0,0,0,4,0
Knox County,96458,2,1,0,4,0
Knox County,1007,0,0,0,1,0
Kootenai County,34769,0,0,0,2,0
La Crosse County,24074,0,0,0,1,0
La Paz County,3520,0,2,1,1,0
La Plata County,10474,0,0,0,1,0
Labette County,4947,0,0,0,1,0
Lackawanna County,42544,0,0,0,1,0
Laclede County,8753,0,0,0,1,0
Lafayette Parish County,56319,1,0,0,1,0
Lafayette County,7616,0,0,0,1,0
Lafayette County,9580,0,0,0,3,0
Lafourche Parish County,23133,0,0,0,1,0
Lake County,13094,0,0,0,4,0
Lake County,62507,1,1,0,7,0
Lake County,179117,4,1,0,4,0
Lake County,119616,9,0,0,1,0
Lake County,47909,0,0,0,1,0
Lamar County,15506,0,0,0,1,0
Lamar County,11737,0,1,0,3,0
Lamb County,3841,0,1,0,0,0
Lancaster County,69715,1,0,0,5,0
Lancaster County,128530,1,2,0,1,0
Lancaster County,18212,0,0,0,1,0
Lane County,68442,0,3,0,9,0
Langlade County,3863,0,0,0,1,0
Laramie County,22651,0,0,1,1,0
Larimer County,66445,0,1,0,6,1
Las Animas County,2670,1,1,0,0,0
Latimer County,2417,0,0,0,0,0
Lauderdale County,19085,0,0,0,1,0
Lauderdale County,19137,0,0,0,3,0
Laurel County,14164,0,0,0,3,0
Lawrence County,7265,0,0,0,1,0
Lawrence County,10192,0,0,0,1,0
Lawrence County,9696,0,0,0,1,0
Lawrence County,18198,0,1,0,1,0
Lawrence County,4512,0,0,0,1,0
Lawrence County,10526,0,0,0,1,0
Le Flore County,11943,0,0,0,2,0
Lea County,21280,0,3,0,3,0
Leavenworth County,19148,1,0,0,0,0
Lebanon County,31226,0,0,0,2,0
Lee County,33319,1,0,0,0,0
Lee County,127069,2,1,0,4,0
Lee County,7823,0,0,0,0,0
Lee County,7622,1,0,0,1,0
Lee County,21993,2,0,0,0,0
Lee County,15094,0,1,0,0,0
Lee County,3784,1,0,0,0,0
Lehigh County,81584,0,0,0,3,0
Lenoir County,13393,1,0,0,0,0
Leon County,54242,4,0,0,3,0
Leon County,3760,0,0,0,1,0
Lewis and Clark County,14357,0,0,0,1,0
Lewis County,2643,0,0,0,1,0
Lewis County,16453,0,1,0,0,0
Lexington County,65859,1,0,0,8,0
Lexington County,899,0,0,0,0,0
Limestone County,21244,0,0,0,1,0
