County,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,HispanicDemog,HispanicShooting,BlackShooting,BlackDemog,WhiteShooting,WhiteDemog
Chesapeake County,2,2,1,1,0,12368,2,70244,0,137455
Chester County,1,0,0,1,0,36407,1,32818,0,413303
Chester County,2,2,2,0,0,582,1,11964,1,19078
Chesterfield County,1,1,0,1,0,1798,0,14990,1,28274
Chesterfield County,2,2,0,2,0,26599,0,77472,2,210804
Cheyenne County,1,0,0,1,0,669,0,40,1,9123
Chickasaw County,1,1,0,1,0,282,1,73,0,11797
Childress County,1,1,0,1,1,2091,0,715,0,4147
Chilton County,2,1,1,1,0,3382,0,4656,2,35276
Chippewa County,1,0,0,1,0,1015,0,1015,1,59652
Chisago County,1,1,0,1,0,1026,0,702,1,50783
Chittenden County,2,1,3,0,0,3531,0,3852,2,144317
Choctaw County,2,2,0,2,0,560,0,1698,1,9384
Christian County,1,0,0,1,0,5643,0,15666,1,49598
Christian County,1,1,0,1,0,2380,0,656,1,76846
Cibola County,1,1,0,2,1,10337,0,382,0,5688
Citrus County,4,3,0,5,0,7247,0,4320,5,123627
Clackamas County,9,7,0,10,0,33177,1,3949,7,328221
Claiborne Parish County,1,1,0,1,0,229,1,8353,0,7483
Claiborne County,1,1,0,1,0,347,0,379,0,30233
Clallam County,1,1,0,1,0,4217,0,727,0,60717
Clark County,3,3,1,2,0,5941,1,8455,2,96322
Clark County,1,1,0,1,0,210,0,15,1,1805
Clark County,65,42,33,37,20,627113,14,240082,27,937565
Clark County,2,1,0,2,0,4233,0,12289,2,115524
Clark County,11,5,0,13,2,39237,2,9922,6,360806
Clark County,3,3,0,3,0,1445,0,172,2,32219
Clarke County,6,2,7,0,0,13061,0,33499,5,67725
Clatsop County,3,3,2,1,0,3035,0,337,2,32265
Clay County,1,1,0,1,0,272,0,90,1,14467
Clay County,5,5,0,5,0,18381,1,21777,3,149448
Clay County,1,1,0,1,0,345,0,159,1,25632
Clay County,3,3,0,3,0,15423,0,14020,3,192553
Clayton County,3,3,0,3,0,35048,2,182731,1,36118
Clear Creek County,1,1,0,1,0,505,0,82,1,8332
Clearfield County,1,1,0,1,0,2354,0,2435,1,75507
Clearwater County,1,1,0,1,0,308,0,42,1,7817
Cleburne County,1,1,0,1,0,377,0,542,1,13918
Cleveland County,3,2,0,3,1,3009,0,20288,2,71350
Cleveland County,1,1,0,2,0,21322,0,13225,2,198112
Clinton County,1,0,1,0,0,1393,0,1537,1,43966
Coahoma County,1,1,0,1,0,372,1,18580,0,5606
Coal County,1,1,0,1,0,226,0,40,1,4105
Cobb County,9,8,1,14,1,92834,7,199557,4,393998
Cochise County,3,1,0,3,3,44097,0,5990,0,71498
Cochran County,1,1,0,1,1,1672,0,149,0,1094
Cocke County,3,1,0,3,0,778,0,707,3,33110
Coconino County,9,7,6,6,1,19137,0,2202,7,75587
Coffee County,1,1,0,1,0,4666,0,11987,1,25429
Coffee County,1,1,0,1,0,2144,0,2037,1,47831
Colbert County,3,3,0,3,0,1418,1,8890,2,42979
Cole County,3,1,0,3,0,2067,0,9033,2,63006
Colfax County,1,0,0,1,1,6213,0,114,0,6023
Colleton County,1,0,0,1,0,1170,1,14466,0,21340
Collier County,3,1,0,3,2,93123,0,25111,1,224263
Collin County,6,5,0,7,1,133671,1,84983,3,534685
Colonial Heights County,1,1,0,1,0,939,1,2464,0,13440
Colquitt County,0,0,0,1,1,8436,0,10695,0,26324
Columbia County,1,0,0,1,0,646,1,8663,0,14216
Columbia County,1,1,0,1,0,8633,0,23534,0,98176
Columbia County,1,0,0,1,0,1745,0,1409,0,62691
Columbia County,1,1,0,1,0,1641,0,849,1,52935
Comanche County,7,6,0,7,0,15754,3,22255,4,71518
Contra Costa County,17,6,6,12,5,280057,6,106688,5,506770
Converse County,1,0,0,2,1,1085,0,140,1,12504
Cook County,1,1,0,1,0,1050,1,4785,0,11085
Cook County,51,43,10,49,10,1311614,42,1280135,5,2255976
Cooke County,1,1,0,1,0,6589,0,1240,1,29768
Coos County,1,1,0,1,0,538,0,221,1,30196
Coos County,2,2,0,2,0,3748,0,374,1,53666
Copiah County,1,1,0,1,0,806,1,14801,0,12929
Corson County,0,0,0,1,0,163,0,8,0,1317
Covington County,1,1,0,1,0,606,0,4928,1,31506
Coweta County,1,1,1,0,0,9083,1,24402,0,97475
Cowley County,1,1,0,1,0,3668,0,1078,1,28950
Cowlitz County,7,5,0,7,1,8579,1,919,4,86506
Craig County,0,0,0,1,0,466,1,481,0,9419
Craighead County,3,2,0,3,0,4818,0,14865,3,79964
Craven County,1,1,0,1,0,7420,0,22678,1,69290
Crawford County,2,1,0,2,0,4133,0,987,1,52812
Crawford County,1,0,0,1,0,149,0,53,1,10282
Crawford County,1,1,0,1,0,443,0,123,1,23614
Crawford County,1,1,0,1,0,637,0,424,1,40738
Creek County,2,0,0,3,0,2613,0,1695,2,54598
Crenshaw County,0,0,0,2,0,237,0,3354,2,9867
Crittenden County,4,1,0,5,0,1139,4,25665,1,21850
Crockett County,1,1,1,1,0,1422,1,2009,1,11030
Cullman County,1,1,0,1,0,3576,0,1138,1,74867
Culpeper County,3,3,0,3,0,4523,2,7768,1,35104
Cumberland County,2,1,0,3,0,74,0,188,2,6374
Cumberland County,3,1,0,3,0,5468,1,8346,2,261895
Cumberland County,9,5,1,8,0,35896,5,122699,3,147500
Cumberland County,4,3,0,6,1,46114,4,34468,1,75389
Cumberland County,1,1,0,1,0,1565,0,405,1,55027
Curry County,1,0,0,1,1,20234,0,3567,0,25637
Custer County,1,1,0,1,0,278,0,53,1,10223
